Default Dataset,
X,Y
376.6238973536488,0.08124371538183359
378.93565246246163,0.11215524057609773
379.80256062826646,0.12651847229612462
381.82534634847775,0.16905939507733633
384.1371014572906,0.23567441244578377
385.00400962309544,0.265856204924248
387.02679534330673,0.3564073197233743
387.89370350911156,0.40074354930881806
389.3385504521196,0.4920128098375385
390.49442800652605,0.5828105618606675
392.2282443381357,0.7249282975905328
393.09515250394054,0.8045577244783381
395.11793822415177,1.0474349024033998
397.42969333296463,1.4041931662143463
398.29660149876946,1.5737376619904426
400.31938721898075,2.002631643335435
403.2090811049968,2.6327779603261203
405.8098056024113,3.36487466861248
408.6994994884274,4.404495079320953
410.7222852086387,5.337627096428799
413.61197909465477,6.792301653449194
416.21270359206926,8.52229279077898
418.81342808948375,10.611959178059285
421.99209136410144,12.79752560944492
425.7486934159224,15.258291080144081
430.6611730221497,18.874218689328167
434.99571385117383,21.903272150808643
439.5229009392657,25.37433368037843
445.9187567403147,29.27762305876577
452.2760832895501,33.788684185862266
458.0554710615823,38.7921308792766
462.15883637972513,44.40613705157605
465.9154384315461,51.66715705109993
469.9610098719686,60.67275598405908
473.4286425351879,69.8996205132185
477.47421397561044,82.3151597258158
480.74920037976204,94.07450951058128
484.4094793020491,111.25402832488662
488.4550507424716,133.51329623375963
492.11532966475863,157.3815644436503
496.83516301191827,192.59689683607596
500.3991188046715,224.21083510897546
504.3483671155601,267.17803053901486
508.10496916738106,318.0338973390399
511.95789434873586,370.2377706326144
516.196112048226,426.3568306185797
521.9754998202583,502.48602180429884
525.4431324834776,539.0301731319516
539.9558173332473,643.3288286259973
545.6709896855903,675.8534398593837
552.0283162348258,675.8534398593837
558.385642784061,674.2544837708543
564.7429693332965,676.2537710045715
569.6967302807527,648.0822129108761
587.5715510328237,532.0535028003475
594.4655350180335,474.0712670372859
603.2481403644609,396.2308368601395
609.6777092608468,344.4508410628312
615.1392307054173,294.888847536969
620.8030307220088,247.89545797131325
626.1200674722784,201.84465600444534
629.6647586391248,176.19267957318624
634.3845919862844,143.43074372853167
638.0256062826646,123.35409413598045
641.6088267013247,105.26166241752985
645.6543981417472,87.56977430239287
649.6999695821696,72.0257331761527
651.722755302381,64.89713608548436
654.3234797997955,55.74657896233159
657.5984662039469,46.4525380605692
660.1028675718276,40.07634071053063
662.1256532920388,35.066782744612574
665.015347178055,29.125454235204316
667.6160716754695,24.53458645697638
669.9278267842824,21.029476887352214
672.8175206702983,17.296647195779197
675.4182451677129,14.554472878636629
678.2116159241951,12.062304959974766
680.6196941625419,10.205217430797594
683.509388048558,8.393744000493154
686.1101125459725,6.994343328530511
688.710837043387,5.8663376781821235
691.3115615408014,4.87770267084408
693.9122860382158,4.086617161665262
696.5130105356304,3.416407163299965
699.6916738102482,2.7377106298156937
702.003428919061,2.33388721950975
704.6041534164755,1.9596181727160014
707.20487791389,1.641799386994311
709.8056024113044,1.3815119415745531
712.4063269087189,1.1511869829803585
715.0070514061333,0.9613467417445646
717.6077759035479,0.8019416438351056
720.497469789564,0.6574485645601857
722.8092248983769,0.5604722374969727
725.698918784393,0.4579928286154201
728.0106738932059,0.3879020873212769
730.9003677792219,0.3169762252480116
733.5010922766364,0.25789643500100135
736.3907861626525,0.2066632511131466
738.991510660067,0.16961089781374908
741.0142963802782,0.1456956019660317
744.192959654896,0.11738747594031264
746.7936841523104,0.09686562039879855
749.1054392611234,0.08338833742122484
750.2613168155298,0.07256977451606626
